"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"02/02/2024","14,07","13,73","3,62","13,43","14,23","242,27M"
"01/02/2024","13,49","13,25","-1,12","12,80","13,60","236,54M"
"31/01/2024","13,18","13,40","1,52","13,17","13,92","196,17M"
"30/01/2024","13,75","13,20","-4,62","13,17","13,97","261,27M"
"29/01/2024","14,20","13,84","-3,01","13,72","14,36","167,57M"
"26/01/2024","14,18","14,27","1,42","13,80","14,36","270,24M"
"25/01/2024","13,45","14,07","6,03","13,37","14,08","312,35M"
"24/01/2024","13,73","13,27","-1,92","13,27","13,86","135,13M"
"23/01/2024","13,47","13,53","2,11","13,39","13,73","141,33M"
"22/01/2024","13,42","13,25","1,07","13,15","13,93","220,73M"
"19/01/2024","12,78","13,11","3,88","12,49","13,26","203,51M"
"18/01/2024","12,78","12,62","0,56","12,50","13,05","140,06M"
"17/01/2024","12,83","12,55","-2,86","12,55","13,25","180,10M"
"16/01/2024","13,52","12,92","-5,28","12,67","13,56","352,34M"
"15/01/2024","13,60","13,64","-2,36","13,27","13,90","212,53M"
"12/01/2024","14,13","13,97","-1,76","13,86","14,58","160,03M"
"11/01/2024","14,76","14,22","-3,20","14,09","14,88","182,54M"
"10/01/2024","14,91","14,69","-0,88","14,68","15,27","194,95M"
"09/01/2024","14,60","14,82","-0,47","14,42","15,02","178,93M"
"08/01/2024","13,72","14,89","7,66","13,70","14,91","283,41M"
"05/01/2024","13,76","13,83","-0,07","13,54","14,20","164,45M"
"04/01/2024","14,21","13,84","-2,60","13,77","14,32","151,73M"
"03/01/2024","14,70","14,21","-3,33","14,18","14,85","210,85M"
"02/01/2024","15,82","14,70","-8,18","14,66","15,82","267,16M"
"28/12/2023","16,51","16,01","-3,38","15,92","16,63","164,85M"
"27/12/2023","16,18","16,57","1,91","16,14","16,66","121,54M"
"26/12/2023","16,29","16,26","-0,25","16,10","16,36","99,01M"
"22/12/2023","16,57","16,30","-0,67","16,01","16,57","207,57M"
"21/12/2023","16,25","16,41","3,60","15,98","16,56","214,27M"
"20/12/2023","16,21","15,84","-2,64","15,81","16,60","199,82M"
"19/12/2023","16,05","16,27","2,26","16,05","16,83","267,35M"
"18/12/2023","16,02","15,91","0,06","15,75","16,18","169,91M"
"15/12/2023","17,07","15,90","-5,41","15,90","17,07","423,95M"
"14/12/2023","17,01","16,81","-0,18","16,74","17,44","237,86M"
"13/12/2023","15,90","16,84","6,38","15,85","16,93","217,79M"
"12/12/2023","16,06","15,83","-1,00","15,76","16,14","99,28M"
"11/12/2023","16,10","15,99","-0,81","15,71","16,18","130,43M"
"08/12/2023","17,00","16,12","-4,33","16,01","17,10","222,65M"
"07/12/2023","16,45","16,85","3,37","16,40","16,89","145,74M"
"06/12/2023","16,24","16,30","2,52","16,13","16,55","178,23M"
"05/12/2023","16,19","15,90","-0,75","15,51","16,33","247,63M"
"04/12/2023","17,00","16,02","-5,82","15,96","17,00","210,64M"
"01/12/2023","16,99","17,01","0,71","16,86","17,34","181,22M"
"30/11/2023","17,66","16,89","-3,15","16,89","17,74","245,94M"
"29/11/2023","17,84","17,44","-2,02","17,42","18,17","188,65M"
"28/11/2023","17,61","17,80","0,96","17,37","17,94","171,52M"
"27/11/2023","17,70","17,63","0,74","17,15","17,78","167,25M"
"24/11/2023","17,20","17,50","1,69","16,85","17,60","179,87M"
"23/11/2023","17,58","17,21","-1,09","17,14","17,63","102,92M"
"22/11/2023","17,40","17,40","1,87","17,30","18,01","249,12M"
